3NJ,Camden Airport,"Camden, NJ",New Jersey,"Camden, NJ",39,N,56,31,39.94194444,75,W,0,42,-75.01166667,1/1/2024 12:00:00 AM,1/31/2024 12:00:00 AM,0,0
3NY,Sebonac,"Suffolk, NY",New York,"Suffolk, NY",40,N,53,55,40.89861111,72,W,24,38,-72.41055556,1/1/2018 12:00:00 AM,,0,1
3PA,Conshohocken Heliport,"Conshohocken, PA",Pennsylvania,"Conshohocken, PA",40,N,4,10,40.06944444,75,W,18,8,-75.30222222,10/1/2023 12:00:00 AM,,0,1
3TN,Elizabethton Municipal,"Elizabethon, TN",Tennessee,"Elizabethon, TN",36,N,22,18,36.37166667,82,W,10,22,-82.17277778,1/1/2021 12:00:00 AM,,0,1
3TX,Lancaster Regional,"Lancaster, TX",Texas,"Lancaster, TX",32,N,34,39,32.57750000,96,W,43,3,-96.71750000,10/1/2019 12:00:00 AM,,0,1
3VA,Middle Peninsula Regional,"West Point, VA",Virginia,"West Point, VA",37,N,31,17,37.52138888,76,W,45,46,-76.76277778,1/1/2024 12:00:00 AM,,0,1
4AK,Bradley Sky Ranch,"North Pole, AK",Alaska,"North Pole, AK",64,N,45,33,64.75916667,147,W,23,16,-147.38777778,6/1/2023 12:00:00 AM,,0,1
4CA,University,"Davis, CA",California,"Davis, CA",38,N,31,53,38.53138889,121,W,47,11,-121.78638889,1/1/2021 12:00:00 AM,,0,1
4CL,El Mirage Field Adelanto,"El Mirage, CA",California,"El Mirage, CA",34,N,37,30,34.62500000,117,W,36,18,-117.60500000,1/1/2021 12:00:00 AM,9/30/2022 12:00:00 AM,0,0
4CL,El Mirage Field Adelanto,"El Mirage, CA",California,"El Mirage, CA",34,N,37,32,34.62555556,117,W,35,54,-117.59833333,10/1/2022 12:00:00 AM,,0,1
4FL,Quincy Municipal,"Quincy, FL",Florida,"Quincy, FL",30,N,35,52,30.59777778,84,W,33,27,-84.55750000,1/1/2024 12:00:00 AM,,0,1
4GA,Paulding Memorial Hospital Heliport,"Atlanta, GA",Georgia,"Atlanta, GA (Metropolitan Area)",33,N,55,11,33.91972221,84,W,51,10,-84.85277778,2/1/2021 12:00:00 AM,4/30/2023 12:00:00 AM,1,1
4NC,Western Carolina Regional,"Andrews, NC",North Carolina,"Andrews, NC",35,N,11,43,35.19527778,83,W,51,47,-83.86305556,4/1/2024 12:00:00 AM,,0,1
4NJ,Pomona Airport,"Pomona, NJ",New Jersey,"Pomona, NJ",39,N,28,45,39.47916667,74,W,32,22,-74.53944444,1/1/2024 12:00:00 AM,,0,1
